Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
916,17640,Vaux-sur-Mer,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,fermé,fermé,oui,33546396439,20 Avenue de Saint-sordelin-plage,Nouvelle-Aquitaine
1324,36110,Levroux,fermé,fermé,fermé,fermé,9h - 12h,fermé,fermé,non précisé,,5 Rue Gambetta,Centre-Val de Loire
1168,74150,Rumilly,14:00-18:00,08:30-12:30/14:00-18:00,08:30-12:30/14:00-18:00,08:30-12:30/14:00-18:00,08:30-12:30/14:00-18:00,fermé,fermé,oui,33450018399,1 Rue du Sophora,Auvergne-Rhône-Alpes
1330,74700,Sallanches,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,fermé,fermé,oui,33458380025,380 Rue de l'Hopital,Auvergne-Rhône-Alpes
989,63000,Clermont-Ferrand,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33473403333,Place des Bughes,Auvergne-Rhône-Alpes
1443,39190,Cousance,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,33384868600,4 Rue de la gare,
831,83000,Toulon,9h/17h,9h/17h,9h/17h,9h/17h,9h/17h,fermé,fermé,oui,33800808083,Rue President Robert Schuman,Provence-Alpes-Côte d'Azur
786,76600,Le Havre,,,,,,,,oui,33279461156,55 Bis rue Gustave Flaubert,Normandie
1456,94000,Créteil,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,fermé,oui,33800083346,42 Rue Gustave Eiffel,Île-de-France
1491,83440,Fayence,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,3 Rue Saint-Clair,Provence-Alpes-Côte d'Azur
1520,51120,Sézanne,13:00-17:00,fermé,13:00-17:00,fermé,13:00-17:00,9:00-13:00,fermé,oui,33801305151,8 Rue du Capitaine Faucon,Grand Est
1511,,59067,,fermé,09:00-11:30/14:00-16:30,09:00-11:30/14:00-16:30,09:00-11:30/14:00-16:30,09:00-11:30/14:00-16:30,fermé,fermé,https://www.doctolib.fr/centre-de-sante/bergues/centre-vaccination-communaute-de-communes-des-hauts-de-flandre-cchf,2.43406,32
1047,48300,Langogne,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,33809541919,24 bis Route de la Tuilerie,Occitanie
483,94380,Bonneuil-sur-Marne,fermé,09:00-12:00/13:00-16:00,09:00-12:00/13:00-16:00,09:00-12:00/13:00-16:00,09:00-12:00/13:00-16:00,09:00-12:00/13:00-16:00,09:00-12:00/13:00-16:00,oui,33180518039,Espace Louise Voelkel Rue du 8 mai 1945,Île-de-France
1350,76000,Rouen,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,,37 Boulevard Gambetta,Normandie
1319,8600,Givet,fermé,fermé,fermé,fermé,02/05/21, 8:00-13:00,fermé,fermé,https://partners.doctolib.fr/centre-de-sante/sedan/centre-de-vaccination-covid-ars-ardennes?pid=practice-167627&enable_cookies_consent=1,4.82581,44
1407,24700,Montpon-Ménestérol,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,fermé,fermé,oui,05 53 80 34 30,8 Rue du 19 Mars 1962,Nouvelle-Aquitaine
413,79350,Faye-l'Abbesse,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33549683022,4 Rue du Docteur Binet,Nouvelle-Aquitaine
150,97100,Basse-Terre,oui,ouvert,ouvert,ouvert,ouvert,ouvert,fermé,fermé,https://partners.doctolib.fr/hopital-public/basse-terre/centre-de-vaccination-anti-covid-du-chbt?speciality_id=5494&enable_cookies_consent=1,-61.7298,1
1195,32140,Masseube,09:00-12:00/14:00-17:00,fermé,fermé,fermé,fermé,fermé,fermé,oui,33809541919,place DASTE,Occitanie
950,51290,Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,fermé,09:30-12:30,fermé,fermé,09:30-12:30,fermé,fermé,oui,33326725136,5 c Rue du Soiemont,Grand Est
1043,6440,L'Escarène,9H 12H /  13H30 17H,9H 12H /  13H30 17H,9H 12H /  13H30 17H,9H 12H /  13H30 17H,9H 12H /  13H30 17H,fermé,fermé,oui,33492009590,5 Rue Henri Rostagni,Provence-Alpes-Côte d'Azur
1092,59223,Roncq,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,fermé,fermé,oui,33359032068,56 Rue de Lille,Hauts-de-France
1026,,4209,,09h - 13h00 / 14h00 - 18h00,09h - 13h00 / 14h00 - 18h00,09h - 13h00 / 14h00 - 18h00,09h - 13h00 / 14h00 - 18h00,09h - 13h00 / 14h00 - 18h00,fermé,fermé,https://partners.doctolib.fr/centre-de-sante/sisteron/centre-de-vaccination-de-la-ville-de-sisteron-salle-de-l-alcazar?speciality_id=5494&enable_cookies_consent=1,5.93974,93
741,23400,Bourganeuf,13:30-16:00,13:30-16:00,13:30-16:00,13:30-16:00,13:30-16:00,fermé,fermé,oui,33555515571,Place Tournois,Nouvelle-Aquitaine
1102,80480,Saleux,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-18:00,fermé,non,33392043471,Place Numa BUIGNET,Hauts-de-France
780,91800,Brunoy,9h - 13h / 14h - 18h,9h - 13h / 14h - 18h,9h - 13h / 14h - 18h,9h - 13h / 14h - 18h,9h - 13h / 14h - 18h,9h - 13h / 14h - 18h,fermé,oui,01 69 39 89 92,1 Impasse de la Mairie,Île-de-France
221,30100,Alès,9:00-12:30,9:00-12:30,9:00-12:30,9:00-12:30,9:00-12:30,9:00-12:30,fermé,oui,33809541919,811 avenue du Dr Jean Goubert,Occitanie
22,18200,Saint-Amand-Montrond,9h-13h,9h-13h,9h-13h,9h-13h,9h-13h,9h-13h,fermé,oui,33805021400,240 Rue des Orpailleurs,Centre-Val de Loire
959,6410,Biot,16h 18h,16h 18h,16h 18h,16h 18h,16h 18h,16h 18h,fermé,oui,33648768298,644 Chemin des Combes,Provence-Alpes-Côte d'Azur
1133,13800,Istres,8h-18h,8h-18h,8h-18h,8h-18h,8h-18h,8h-18h,fermé,oui,04 12 29 52 52,Chemin le Capeau,Provence-Alpes-Côte d'Azur
796,76170,Lillebonne,,,,,,,,oui,33279461156,19 Avenue Rene Coty,Normandie
809,44300,Nantes,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,oui,33806000344,251 Route de Saint Joseph,Pays de la Loire
908,17410,Saint-Martin-de-Ré,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,fermé,fermé,oui,33546093896,53 Rue de l'Hopital,Nouvelle-Aquitaine
435,6000,Nice,En cours de précisions,En cours de précisions,En cours de précisions,En cours de précisions,En cours de précisions,fermé,fermé,oui,33497135600,1 promenade des Anglais,Provence-Alpes-Côte d'Azur
1237,51300,Vitry-le-FranÃ§ois,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,fermé,fermé,oui,326725136,2 Rue Charles Simon,Grand Est
1341,54200,Toul,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,fermé,fermé,oui,33383851300,Rue des Teinturiers,Grand Est
1356,45000,Orléans,ouvert,ouvert,ouvert,ouvert,ouvert,fermé,fermé,oui,,1 Rue Porte Madeleine,Centre-Val de Loire
619,45500,Gien,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,fermé,fermé,oui,33805021400,32 Rue Georges Brassens,Centre-Val de Loire
